cid,course name,subject
CS115,Introduction to Computer Science 1,CS
MATH135,Algebra for Honours Mathematics,MATH
ECON101,Introduction to Microeconomics,ECON
PSYCH101,Introductory Psychology,PSYCH
MATH137,Calculus 1 for Honours Mathematics,MATH
PD1,Career Fundamentals,PD
MATH115,Linear Algebra for Engineering,MATH
CHE102,Chemistry for Engineers,CHE
CS135,Designing Functional Programs,CS
MATH136,Linear Algebra 1 for Honours Mathematics,MATH
STAT230,Probability,STAT
MATH138,Calculus 2 for Honours Mathematics,MATH
CS246,Object-Oriented Software Development,CS
MATH117,Calculus 1 for Engineering,MATH
CS240,Data Structures and Data Management,CS
CHEM120,General Chemistry 1,CHEM
CS136,Elementary Algorithm Design and Data Abstraction,CS
ECON102,Introduction to Macroeconomics,ECON
MATH239,Introduction to Combinatorics,MATH
CS245,Logic and Computation,CS
BIOL130,Introductory Cell Biology,BIOL
ECE105,Classical Mechanics,ECE
ENGL109,Introduction to Academic Writing,ENGL
STAT231,Statistics,STAT
CS341,Algorithms,CS
SPCOM223,Public Speaking,SPCOM
CS241,Foundations of Sequential Programs,CS
MATH127,Calculus 1 for the Sciences,MATH
CHEM120L,General Chemistry Laboratory 1,CHEM
MATH119,Calculus 2 for Engineering,MATH
ECE140,Linear Circuits,ECE
MATH116,Calculus 1 for Engineering,MATH
ECE124,Digital Circuits and Systems,ECE
ECE106,Electricity and Magnetism,ECE
MATH237,Calculus 3 for Honours Mathematics,MATH
CHEM123,General Chemistry 2,CHEM
CLAS104,Classical Mythology,CLAS
PHYS111,Physics 1,PHYS
MATH235,Linear Algebra 2 for Honours Mathematics,MATH
CS251,Computer Organization and Design,CS
AFM101,Introduction to Financial Accounting,AFM
BIOL130L,Cell Biology Laboratory,BIOL
CS350,Operating Systems,CS
ECE222,Digital Computers,ECE
BIOL239,Genetics,BIOL
SOC101,Introduction to Sociology,SOC
MATH118,Calculus 2 for Engineering,MATH
PHYS121,Mechanics,PHYS
ECE150,Fundamentals of Programming,ECE
CHEM123L,General Chemistry Laboratory 2,CHEM
COOP1,Co-operative Work Term,COOP
MATH128,Calculus 2 for the Sciences,MATH
CS116,Introduction to Computer Science 2,CS
CS137,Programming Principles,CS
PD11,Processes for Technical Report Writing,PD
AFM131,Introduction to Business in North America,AFM
CS348,Introduction to Database Management,CS
BIOL240,Fundamentals of Microbiology,BIOL
BIOL273,Principles of Human Physiology 1,BIOL
SE101,Introduction to Methods of Software Engineering,SE
PHYS115,Mechanics,PHYS
CO250,Introduction to Optimization,CO
MSCI261,Engineering Economics: Financial Management for Engineers,MSCI
CS349,User Interfaces,CS
ENVS178,Environmental Applications of Data Management and Statistics,ENVS
STAT333,Stochastic Processes 1,STAT
CS145,Designing Functional Programs (Advanced Level),CS
CS138,Introduction to Data Abstraction and Implementation,CS
ENVS195,Introduction to Environmental Studies,ENVS
CHEM266,Basic Organic Chemistry 1,CHEM
PHYS111L,Physics 1 Laboratory,PHYS
HRM200,Basic Human Resources Management,HRM
CS370,Numerical Computation,CS
WKRPT200,Work-term Report,WKRPT
SPCOM100,Interpersonal Communication,SPCOM
AFM102,Introduction to Managerial Accounting,AFM
CS343,Concurrent and Parallel Programming,CS
SCI238,Introductory Astronomy,SCI
PSYCH207,Cognitive Processes,PSYCH
STAT202,Introductory Statistics for Scientists,STAT
PHIL145,Critical Thinking,PHIL
PSYCH257,Psychopathology,PSYCH
EARTH121,Introductory Earth Sciences,EARTH
COOP2,Co-operative Work Term,COOP
PHYS112,Physics 2,PHYS
SE212,Logic and Computation,SE
MATH145,Algebra (Advanced Level),MATH
MUSIC140,Popular Music and Culture,MUSIC
CS247,Software Engineering Principles,CS
ECE250,Algorithms and Data Structures,ECE
GENE123,Electrical Circuits and Instrumentation,GENE
MATH147,Calculus 1 (Advanced Level),MATH
ARTS130,Inquiry and Communication,ARTS
CHEM266L,Organic Chemistry Laboratory,CHEM
BIOL240L,Microbiology Laboratory,BIOL
MSCI211,Organizational Behaviour,MSCI
LS101,Introduction to Legal Studies,LS
STAT206,Statistics for Software Engineering,STAT
CS100,Introduction to Computing Through Applications,CS
ENVS200,Field Ecology,ENVS
CS136L,Tools and Techniques for Software Development,CS
ECE190,Engineering Profession and Practice,ECE
ECE240,Electronic Circuits 1,ECE
FR151,Basic French 1,FR
PSYCH211,Developmental Psychology,PSYCH
HLTH101,Introduction to Health 1,HLTH
ECE358,Computer Networks,ECE
MTE100,Mechatronics Engineering,MTE
ARTS140,Information and Analysis,ARTS
ECE192,Engineering Economics and Impact on Society,ECE
AMATH250,Introduction to Differential Equations,AMATH
ENGL210F,Genres of Business Communication,ENGL
SCI206,The Physics of How Things Work,SCI
ECE205,Advanced Calculus 1 for Electrical and Computer Engineers,ECE
PD20,Strategies for Career Success,PD
PLAN100,The Evolution of Planning,PLAN
ARBUS101,Introduction to Business in North America,ARBUS
ECE100A,Electrical and Computer Engineering Practice,ECE
WKRPT300,Work-term Report,WKRPT
PHYS112L,Physics 2 Laboratory,PHYS
PSYCH253,Social Psychology,PSYCH
ENGL119,Communications in Mathematics and Computer Science,ENGL
ACTSC231,Introductory Financial Mathematics,ACTSC
CS146,Elementary Algorithm Design and Data Abstraction (Advanced Level),CS
MTE111,Structure and Properties of Materials,MTE
STAT330,Mathematical Statistics,STAT
ECE103,Discrete Mathematics,ECE
ECON201,Microeconomic Theory for Business and Policy,ECON
JAPAN101R,First-Year Japanese 1,JAPAN
ECE198,Project Studio,ECE
MTE140,Algorithms and Data Structures,MTE
CS486,Introduction to Artificial Intelligence,CS
BIOL150,Organismal and Evolutionary Ecology,BIOL
BUS111W,Introduction to Business Organization (WLU),BUS
PD8,Intercultural Skills,PD
CS330,Management Information Systems,CS
ECE207,Signals and Systems,ECE
PSYCH261,Physiological Psychology,PSYCH
CHEM237,Introductory Biochemistry,CHEM
ENVS278,Applied Statistics for Environmental Research,ENVS
GENE121,Digital Computation,GENE
MTE120,Circuits,MTE
BET100,Foundations of Entrepreneurial Practice,BET
ENGL108D,Digital Lives,ENGL
