Qid,ExpectedAnswer,nextQuestion
1,1,2
1,2,3
1,3,4
1,4,5
1,5,6
1,6,7
1,7,8
1,8,9
1,9,10
1,10,11
2,1,12
2,2,13
2,3,14
2,4,15
2,5,16
2,6,17
2,7,18
2,8,19
2,9,20
2,10,21
3,1,12
3,2,13
3,3,14
3,4,15
3,5,16
3,6,17
3,7,18
3,8,19
3,9,20
3,10,21
4,1,12
4,2,13
4,3,14
4,4,15
4,5,16
4,6,17
4,7,18
4,8,19
4,9,20
4,10,21
5,1,12
5,2,13
5,3,14
5,4,15
5,5,16
5,6,17
5,7,18
5,8,19
5,9,20
5,10,21
6,1,12
6,2,13
6,3,14
6,4,15
6,5,16
6,6,17
6,7,18
6,8,19
6,9,20
6,10,21
7,1,12
7,2,13
7,3,14
7,4,15
7,5,16
7,6,17
7,7,18
7,8,19
7,9,20
7,10,21
8,1,12
8,2,13
8,3,14
8,4,15
8,5,16
8,6,17
8,7,18
8,8,19
8,9,20
8,10,21
9,1,12
9,2,13
9,3,14
9,4,15
9,5,16
9,6,17
9,7,18
9,8,19
9,9,20
9,10,21
10,1,12
10,2,13
10,3,14
10,4,15
10,5,16
10,6,17
10,7,18
10,8,19
10,9,20
10,10,21
11,1,12
11,2,13
11,3,14
11,4,15
11,5,16
11,6,17
11,7,18
11,8,19
11,9,20
11,10,21
12,1,22
12,2,22
12,3,22
12,4,22
12,5,22
12,6,22
12,7,22
12,8,22
12,9,22
12,10,22
13,1,22
13,2,22
13,3,22
13,4,22
13,5,22
13,6,22
13,7,22
13,8,22
13,9,22
13,10,22
14,1,22
14,2,22
14,3,22
14,4,22
14,5,22
14,6,22
14,7,22
14,8,22
14,9,22
14,10,22
15,1,22
15,2,22
15,3,22
15,4,22
15,5,22
15,6,22
15,7,22
15,8,22
15,9,22
15,10,22
16,1,22
16,2,22
16,3,22
16,4,22
16,5,22
16,6,22
16,7,22
16,8,22
16,9,22
16,10,22
17,1,22
17,2,22
17,3,22
17,4,22
17,5,22
17,6,22
17,7,22
17,8,22
17,9,22
17,10,22
18,1,22
18,2,22
18,3,22
18,4,22
18,5,22
18,6,22
18,7,22
18,8,22
18,9,22
18,10,22
19,1,22
19,2,22
19,3,22
19,4,22
19,5,22
19,6,22
19,7,22
19,8,22
19,9,22
19,10,22
20,1,22
20,2,22
20,3,22
20,4,22
20,5,22
20,6,22
20,7,22
20,8,22
20,9,22
20,10,22
21,1,22
21,2,22
21,3,22
21,4,22
21,5,22
21,6,22
21,7,22
21,8,22
21,9,22
21,10,22
22,1,23
22,2,24
22,3,25
22,4,26
22,5,27
22,6,28
22,7,29
22,8,30
22,9,31
22,10,32
23,1,33
23,2,34
23,3,35
23,4,36
23,5,37
23,6,38
23,7,39
23,8,40
23,9,41
23,10,42
24,1,33
24,2,34
24,3,35
24,4,36
24,5,37
24,6,38
24,7,39
24,8,40
24,9,41
24,10,42
25,1,33
25,2,34
25,3,35
25,4,36
25,5,37
25,6,38
25,7,39
25,8,40
25,9,41
25,10,42
26,1,33
26,2,34
26,3,35
26,4,36
26,5,37
26,6,38
26,7,39
26,8,40
26,9,41
26,10,42
27,1,33
27,2,34
27,3,35
27,4,36
27,5,37
27,6,38
27,7,39
27,8,40
27,9,41
27,10,42
28,1,33
28,2,34
28,3,35
28,4,36
28,5,37
28,6,38
28,7,39
28,8,40
28,9,41
28,10,42
29,1,33
29,2,34
29,3,35
29,4,36
29,5,37
29,6,38
29,7,39
29,8,40
29,9,41
29,10,42
30,1,33
30,2,34
30,3,35
30,4,36
30,5,37
30,6,38
30,7,39
30,8,40
30,9,41
30,10,42
31,1,33
31,2,34
31,3,35
31,4,36
31,5,37
31,6,38
31,7,39
31,8,40
31,9,41
31,10,42
32,1,33
32,2,34
32,3,35
32,4,36
32,5,37
32,6,38
32,7,39
32,8,40
32,9,41
32,10,42
33,1,43
33,2,43
33,3,43
33,4,43
33,5,43
33,6,43
33,7,43
33,8,43
33,9,43
33,10,43
34,1,43
34,2,43
34,3,43
34,4,43
34,5,43
34,6,43
34,7,43
34,8,43
34,9,43
34,10,43
35,1,43
35,2,43
35,3,43
35,4,43
35,5,43
35,6,43
35,7,43
35,8,43
35,9,43
35,10,43
36,1,43
36,2,43
36,3,43
36,4,43
36,5,43
36,6,43
36,7,43
36,8,43
36,9,43
36,10,43
37,1,43
37,2,43
37,3,43
37,4,43
37,5,43
37,6,43
37,7,43
37,8,43
37,9,43
37,10,43
38,1,43
38,2,43
38,3,43
38,4,43
38,5,43
38,6,43
38,7,43
38,8,43
38,9,43
38,10,43
39,1,43
39,2,43
39,3,43
39,4,43
39,5,43
39,6,43
39,7,43
39,8,43
39,9,43
39,10,43
40,1,43
40,2,43
40,3,43
40,4,43
40,5,43
40,6,43
40,7,43
40,8,43
40,9,43
40,10,43
41,1,43
41,2,43
41,3,43
41,4,43
41,5,43
41,6,43
41,7,43
41,8,43
41,9,43
41,10,43
42,1,43
42,2,43
42,3,43
42,4,43
42,5,43
42,6,43
42,7,43
42,8,43
42,9,43
42,10,43
43,1,44
43,2,45
43,3,46
43,4,47
43,5,48
43,6,49
43,7,50
43,8,51
43,9,52
43,10,53
44,1,54
44,2,55
44,3,56
44,4,57
44,5,58
44,6,59
44,7,60
44,8,61
44,9,62
44,10,63
45,1,54
45,2,55
45,3,56
45,4,57
45,5,58
45,6,59
45,7,60
45,8,61
45,9,62
45,10,63
46,1,54
46,2,55
46,3,56
46,4,57
46,5,58
46,6,59
46,7,60
46,8,61
46,9,62
46,10,63
47,1,54
47,2,55
47,3,56
47,4,57
47,5,58
47,6,59
47,7,60
47,8,61
47,9,62
47,10,63
48,1,54
48,2,55
48,3,56
48,4,57
48,5,58
48,6,59
48,7,60
48,8,61
48,9,62
48,10,63
49,1,54
49,2,55
49,3,56
49,4,57
49,5,58
49,6,59
49,7,60
49,8,61
49,9,62
49,10,63
50,1,54
50,2,55
50,3,56
50,4,57
50,5,58
50,6,59
50,7,60
50,8,61
50,9,62
50,10,63
51,1,54
51,2,55
51,3,56
51,4,57
51,5,58
51,6,59
51,7,60
51,8,61
51,9,62
51,10,63
52,1,54
52,2,55
52,3,56
52,4,57
52,5,58
52,6,59
52,7,60
52,8,61
52,9,62
52,10,63
53,1,54
53,2,55
53,3,56
53,4,57
53,5,58
53,6,59
53,7,60
53,8,61
53,9,62
53,10,63
54,1,64
54,2,64
54,3,64
54,4,64
54,5,64
54,6,64
54,7,64
54,8,64
54,9,64
54,10,64
55,1,64
55,2,64
55,3,64
55,4,64
55,5,64
55,6,64
55,7,64
55,8,64
55,9,64
55,10,64
56,1,64
56,2,64
56,3,64
56,4,64
56,5,64
56,6,64
56,7,64
56,8,64
56,9,64
56,10,64
57,1,64
57,2,64
57,3,64
57,4,64
57,5,64
57,6,64
57,7,64
57,8,64
57,9,64
57,10,64
58,1,64
58,2,64
58,3,64
58,4,64
58,5,64
58,6,64
58,7,64
58,8,64
58,9,64
