qid,question
1,"Collaboration: On a scale from 1 to 10, how do you rate your collaboration skills?"
2,"Creativity: On a scale from 1 to 10, how do you rate your creative thinking?"
3,"Analytical Thinking: On a scale from 1 to 10, how do you rate your analytical problem-solving skills?"
4,"Difficulty: On a scale from 1 to 10, how challenging do you find your coursework?"
5,"Collaboration: Please explain why you rated your collaboration skills as 1."
6,"Collaboration: Please explain why you rated your collaboration skills as 2."
7,"Collaboration: Please explain why you rated your collaboration skills as 3."
8,"Collaboration: Please explain why you rated your collaboration skills as 4."
9,"Collaboration: Please explain why you rated your collaboration skills as 5."
10,"Collaboration: Please explain why you rated your collaboration skills as 6."
11,"Collaboration: Please explain why you rated your collaboration skills as 7."
12,"Collaboration: Please explain why you rated your collaboration skills as 8."
13,"Collaboration: Please explain why you rated your collaboration skills as 9."
14,"Collaboration: Please explain why you rated your collaboration skills as 10."
15,"Collaboration: Can you provide additional details regarding the factors that influenced your rating of 1?"
16,"Collaboration: Can you provide additional details regarding the factors that influenced your rating of 2?"
17,"Collaboration: Can you provide additional details regarding the factors that influenced your rating of 3?"
18,"Collaboration: Can you provide additional details regarding the factors that influenced your rating of 4?"
19,"Collaboration: Can you provide additional details regarding the factors that influenced your rating of 5?"
20,"Collaboration: Can you provide additional details regarding the factors that influenced your rating of 6?"
21,"Collaboration: Can you provide additional details regarding the factors that influenced your rating of 7?"
22,"Collaboration: Can you provide additional details regarding the factors that influenced your rating of 8?"
23,"Collaboration: Can you provide additional details regarding the factors that influenced your rating of 9?"
24,"Collaboration: Can you provide additional details regarding the factors that influenced your rating of 10?"
25,"Creativity: Please explain why you rated your creative thinking as 1."
26,"Creativity: Please explain why you rated your creative thinking as 2."
27,"Creativity: Please explain why you rated your creative thinking as 3."
28,"Creativity: Please explain why you rated your creative thinking as 4."
29,"Creativity: Please explain why you rated your creative thinking as 5."
30,"Creativity: Please explain why you rated your creative thinking as 6."
31,"Creativity: Please explain why you rated your creative thinking as 7."
32,"Creativity: Please explain why you rated your creative thinking as 8."
33,"Creativity: Please explain why you rated your creative thinking as 9."
34,"Creativity: Please explain why you rated your creative thinking as 10."
35,"Creativity: Can you provide additional details regarding the factors that influenced your rating of 1?"
36,"Creativity: Can you provide additional details regarding the factors that influenced your rating of 2?"
37,"Creativity: Can you provide additional details regarding the factors that influenced your rating of 3?"
38,"Creativity: Can you provide additional details regarding the factors that influenced your rating of 4?"
39,"Creativity: Can you provide additional details regarding the factors that influenced your rating of 5?"
40,"Creativity: Can you provide additional details regarding the factors that influenced your rating of 6?"
41,"Creativity: Can you provide additional details regarding the factors that influenced your rating of 7?"
42,"Creativity: Can you provide additional details regarding the factors that influenced your rating of 8?"
43,"Creativity: Can you provide additional details regarding the factors that influenced your rating of 9?"
44,"Creativity: Can you provide additional details regarding the factors that influenced your rating of 10?"
45,"Analytical Thinking: Please explain why you rated your analytical problem-solving skills as 1."
46,"Analytical Thinking: Please explain why you rated your analytical problem-solving skills as 2."
47,"Analytical Thinking: Please explain why you rated your analytical problem-solving skills as 3."
48,"Analytical Thinking: Please explain why you rated your analytical problem-solving skills as 4."
49,"Analytical Thinking: Please explain why you rated your analytical problem-solving skills as 5."
50,"Analytical Thinking: Please explain why you rated your analytical problem-solving skills as 6."
51,"Analytical Thinking: Please explain why you rated your analytical problem-solving skills as 7."
52,"Analytical Thinking: Please explain why you rated your analytical problem-solving skills as 8."
53,"Analytical Thinking: Please explain why you rated your analytical problem-solving skills as 9."
54,"Analytical Thinking: Please explain why you rated your analytical problem-solving skills as 10."
55,"Analytical Thinking: Can you provide additional details regarding the factors that influenced your rating of 1?"
56,"Analytical Thinking: Can you provide additional details regarding the factors that influenced your rating of 2?"
57,"Analytical Thinking: Can you provide additional details regarding the factors that influenced your rating of 3?"
58,"Analytical Thinking: Can you provide additional details regarding the factors that influenced your rating of 4?"
59,"Analytical Thinking: Can you provide additional details regarding the factors that influenced your rating of 5?"
60,"Analytical Thinking: Can you provide additional details regarding the factors that influenced your rating of 6?"
61,"Analytical Thinking: Can you provide additional details regarding the factors that influenced your rating of 7?"
62,"Analytical Thinking: Can you provide additional details regarding the factors that influenced your rating of 8?"
63,"Analytical Thinking: Can you provide additional details regarding the factors that influenced your rating of 9?"
64,"Analytical Thinking: Can you provide additional details regarding the factors that influenced your rating of 10?"
65,"Difficulty: Please explain why you rated the challenge of your coursework as 1."
66,"Difficulty: Please explain why you rated the challenge of your coursework as 2."
67,"Difficulty: Please explain why you rated the challenge of your coursework as 3."
68,"Difficulty: Please explain why you rated the challenge of your coursework as 4."
69,"Difficulty: Please explain why you rated the challenge of your coursework as 5."
70,"Difficulty: Please explain why you rated the challenge of your coursework as 6."
71,"Difficulty: Please explain why you rated the challenge of your coursework as 7."
72,"Difficulty: Please explain why you rated the challenge of your coursework as 8."
73,"Difficulty: Please explain why you rated the challenge of your coursework as 9."
74,"Difficulty: Please explain why you rated the challenge of your coursework as 10."
75,"Difficulty: Can you provide additional details regarding the factors that influenced your rating of 1?"
76,"Difficulty: Can you provide additional details regarding the factors that influenced your rating of 2?"
77,"Difficulty: Can you provide additional details regarding the factors that influenced your rating of 3?"
78,"Difficulty: Can you provide additional details regarding the factors that influenced your rating of 4?"
79,"Difficulty: Can you provide additional details regarding the factors that influenced your rating of 5?"
80,"Difficulty: Can you provide additional details regarding the factors that influenced your rating of 6?"
81,"Difficulty: Can you provide additional details regarding the factors that influenced your rating of 7?"
82,"Difficulty: Can you provide additional details regarding the factors that influenced your rating of 8?"
83,"Difficulty: Can you provide additional details regarding the factors that influenced your rating of 9?"
84,"Difficulty: Can you provide additional details regarding the factors that influenced your rating of 10?"
